Date,Close,High,Low,Open,Volume,Target,Day,Day_Friday,Day_Monday,Day_Thursday,Day_Tuesday,Day_Wednesday,RSI,RSI_Scaled
2019-07-03,48.940372467041016,48.94755485247247,48.52856532024344,48.66982377146037,45448000,0,Wednesday,False,False,False,False,True,69.7907931201093,0.7124966598280591
2019-07-05,48.897274017333984,49.100784678008225,48.578841537594826,48.68658462459811,69062000,0,Friday,True,False,False,False,False,69.41445436328318,0.7083791745881526
2019-07-08,47.889312744140625,48.21971347045251,47.5038421856941,48.07845500360109,101354400,1,Monday,False,True,False,False,False,62.65644805304166,0.6344404937350634
2019-07-09,48.181400299072266,48.24604176393507,47.59960154221708,47.69297620031747,82312000,1,Tuesday,False,False,False,True,False,62.74713092149839,0.6354326460595595
2019-07-10,48.65786361694336,48.77757494066493,48.2580282341093,48.32746284771562,71588400,0,Wednesday,False,False,False,False,True,59.10130357094101,0.5955440084136009
2019-07-11,48.303504943847656,48.9355804014419,48.29392964821228,48.67700357970353,80767200,1,Thursday,False,False,True,False,False,57.14273143672389,0.5741154637642459
2019-07-12,48.674617767333984,48.84221286513295,48.41125143272195,48.47110708574294,70380800,1,Friday,True,False,False,False,False,57.079634579796135,0.5734251272725288
2019-07-15,49.13191986083984,49.289936021261454,48.84221686901794,48.86376402908005,67789600,0,Monday,False,True,False,False,False,61.340377103998605,0.6200414912165472
2019-07-16,48.96192169189453,49.34739222396268,48.72249909193417,48.98346884909922,67467200,0,Tuesday,False,False,False,True,False,60.25624888205796,0.6081801512109277
2019-07-17,48.68658828735352,49.103181282791674,48.66743404051857,48.854183380535474,56430000,1,Wednesday,False,False,False,False,True,64.40735976207066,0.6535970461430776
2019-07-18,49.23965835571289,49.292331625927645,48.77038839924491,48.84221591801951,74162400,0,Thursday,False,False,True,False,False,61.682547568059015,0.6237851445335285
2019-07-19,48.50462341308594,49.44076665116611,48.44955723828679,49.27077499857013,83717200,1,Friday,True,False,False,False,False,55.072908489465895,0.551469734936236
2019-07-22,49.6131477355957,49.61554064622825,48.74883206842125,48.75840736425008,89111600,1,Monday,False,True,False,False,False,65.04846359223558,0.660611299950509
2019-07-23,50.001014709472656,50.017776044989866,49.62990895028045,49.91003660607573,73420800,0,Tuesday,False,False,False,True,False,62.616711099149754,0.6340057356397011
2019-07-24,49.9603157043457,50.07523753448428,49.60118178852593,49.720893093799184,59966400,0,Wednesday,False,False,False,False,True,60.65275383919065,0.6125182728604552
2019-07-25,49.56526947021485,50.09678795373076,49.49583486785246,50.0129885793759,55638400,1,Thursday,False,False,True,False,False,54.685820368256884,0.5472346419602615
2019-07-26,49.737648010253906,50.21409660563263,49.59399300114856,49.67539580143556,70475600,1,Friday,True,False,False,False,False,56.18173195911007,0.5636012632125843
2019-07-29,50.20212936401367,50.43197666906582,49.90524767605758,49.910037151014635,86693600,0,Monday,False,True,False,False,False,68.49141598831281,0.698280302718403
2019-07-30,49.98666000366211,50.3170644259433,49.634708419919015,49.98187052779291,135742800,1,Tuesday,False,False,False,True,False,64.61242512196638,0.6558406460308693
2019-07-31,51.00658416748047,53.00097467114659,50.58999122184964,51.815833646333566,277125600,0,Wednesday,False,False,False,False,True,67.47403881902534,0.687149279399711
2019-08-01,49.90285873413086,52.2013175225248,49.49823754428213,51.2125008575506,216071600,0,Thursday,False,False,True,False,False,60.705226771224964,0.613092374037193
2019-08-02,48.84698867797851,49.42399423520728,48.27476894127748,49.208515405919975,163448400,0,Friday,True,False,False,False,False,51.05687763365689,0.5075307372330498
2019-08-05,46.28996658325195,47.56130005899529,46.108006714672,47.40328391275704,209572000,1,Monday,False,True,False,False,False,36.14282137730125,0.3443575179224144
2019-08-06,47.16624450683594,47.42242840063394,46.45755211897738,47.0010423552538,143299200,1,Tuesday,False,False,False,True,False,41.80858305885103,0.40634605796371537
2019-08-07,47.65468215942383,47.77918295906988,46.40489930028725,46.78558043308803,133457600,1,Wednesday,False,False,False,False,True,45.38248612567729,0.4454477791114867
2019-08-08,48.70573806762695,48.72968178909559,47.73847236505692,47.93240408773638,108038000,0,Thursday,False,False,True,False,False,47.71277930879407,0.47094328711352695
2019-08-09,48.30439376831055,48.729779329509,47.8958258952072,48.37889619991547,98478800,0,Friday,True,False,False,False,False,49.117007113535635,0.4863068050999595
2019-08-12,48.18181610107422,48.559139553712626,47.862173717775995,47.97513018657987,89927600,1,Monday,False,True,False,False,False,43.086808307732326,0.4203309944074958
2019-08-13,50.22223281860352,50.9840856450634,48.18181060480173,48.31159207921757,188874000,0,Tuesday,False,False,False,True,False,50.921379220055414,0.5060482624469288
2019-08-14,48.72736740112305,49.61419405795877,48.68891335806939,48.82590451125576,146189600,0,Wednesday,False,False,False,False,True,45.41957752578676,0.4458535924637075
2019-08-15,48.48463821411133,49.30176654519396,47.98714860628682,48.898010052333305,108909600,1,Thursday,False,False,True,False,False,45.93948407778249,0.4515418387980127
2019-08-16,49.62861251831055,49.78723269268097,48.98932781591775,49.09507459883136,110481600,1,Friday,True,False,False,False,False,49.61817417712347,0.49179002453888554
2019-08-19,50.55389022827149,51.12587848929439,50.47698214806522,50.61877729536903,97654400,1,Monday,False,True,False,False,False,51.193302226966075,0.5090233452600523
2019-08-20,50.556297302246094,51.274892121646914,50.54668562484565,50.68127111152873,107537200,1,Tuesday,False,False,False,True,False,51.96076345913302,0.517420062946793
